‘ª’èŽžŠÔ	T1Raw	T2Raw	T3Raw	T4Raw	
       400	-0.00339002	-0.00242366	0.00595144	0.00240812	
       401	0.00498508	-0.00435638	0.00691779	0.00305236	
       402	0.00595144	-0.00145731	0.00949475	0.00015329	
       403	0.00691779	-0.00049095	0.00917263	0.00369660	
       404	0.02109104	0.00305236	0.00949475	0.00305236	
       405	0.02044680	-0.00274578	0.00691779	0.00111965	
       406	0.01142746	-0.00693333	0.00530720	0.00434084	
       407	0.00434084	-0.00886605	0.00498508	0.00562932	
       408	-0.00145731	-0.00596698	0.00079753	0.00466296	
       409	-0.01434208	0.00369660	-0.00210154	-0.00242366	
       410	-0.01466419	0.00691779	-0.00339002	-0.00339002	
       411	-0.01563055	0.00498508	-0.00693333	-0.00564486	
       412	-0.02014022	0.00562932	-0.01015453	-0.01144300	
       413	-0.01466419	0.00595144	-0.00983241	-0.01756327	
       414	-0.00049095	-0.00113519	-0.01079876	-0.01466419	
       415	0.00369660	-0.00435638	-0.01079876	-0.00854393	
       416	0.00691779	-0.00757757	-0.00886605	-0.00177943	
       417	0.00498508	0.02205740	-0.00467850	-0.00049095	
       418	0.00949475	0.01786985	-0.00306790	0.00176389	
       419	0.00240812	0.00530720	0.00434084	0.00337448	
       420	-0.00789969	0.00337448	0.00627356	0.00305236	
       421	-0.00822181	0.00852839	0.00949475	-0.00177943	
       422	0.01432654	-0.00177943	0.01078323	-0.00564486	
       423	0.00401872	-0.01273148	0.01078323	-0.00242366	
       424	-0.00242366	0.00176389	0.01078323	-0.00145731	
       425	-0.00500062	0.02592283	0.00949475	0.00176389	
       426	0.00047541	0.00562932	0.00627356	0.00273024	
       427	-0.00467850	-0.00081307	0.00240812	0.00111965	
       428	-0.00339002	-0.00081307	-0.00049095	0.00401872	
       429	0.00144177	-0.00403426	-0.00564486	0.00434084	
       430	0.00756203	-0.00693333	-0.00661121	0.00723991	
       431	0.00756203	-0.00661121	-0.00789969	0.00369660	
       432	0.00723991	-0.00725545	-0.01079876	-0.00081307	
       433	0.00595144	-0.00564486	-0.00951029	-0.00210154	
       434	0.00208601	-0.00918817	-0.00951029	-0.00177943	
       435	-0.00113519	-0.00693333	-0.01112088	0.00434084	
       436	0.00530720	-0.00661121	-0.00886605	0.00144177	
       437	0.00498508	-0.00725545	-0.00725545	0.00176389	
       438	0.00981687	-0.00242366	-0.00210154	0.00144177	
       439	-0.00145731	0.00530720	0.00144177	-0.00177943	
       440	-0.00435638	0.00949475	0.00659567	-0.00467850	
       441	-0.00596698	0.00627356	0.00820627	-0.00081307	
       442	-0.00725545	0.00273024	0.01174958	-0.00403426	
       443	-0.00467850	-0.01337572	0.01078323	-0.00371214	
       444	-0.00854393	-0.00757757	0.00917263	-0.00500062	
       445	-0.00532274	-0.00371214	0.00917263	-0.00532274	
       446	-0.00693333	-0.00049095	0.00627356	0.00369660	
       447	-0.00371214	-0.01208724	0.00240812	0.00723991	
       448	0.02302376	-0.01724115	0.00111965	0.00240812	
       449	0.00981687	-0.01112088	-0.00081307	0.00627356	
       450	-0.00016883	-0.01208724	-0.00306790	0.00015329	
       451	0.00305236	-0.00016883	-0.00564486	0.00111965	
       452	-0.00661121	0.05942323	-0.00757757	0.00208601	
       453	-0.00467850	0.02527859	-0.00854393	-0.00081307	
       454	0.00530720	-0.01981810	-0.00951029	0.00273024	
       455	-0.00113519	-0.02110658	-0.00983241	0.00208601	
